id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
301235,79ID,small_airport,Kooskia (Clear Creek Int) Airport,46.0488642914,-115.869691372,1800,NA,US,US-ID,,no,79ID,,,,,
301236,79WT,small_airport,Ellensburg (Rotor Ranch) Airport,47.091426059500000,-120.589778423,1962,NA,US,US-WA,,no,79WT,,,,,
301238,8FA4,small_airport,Samsula / Coe Field,29.0102045831,-81.1328315735,40,NA,US,US-FL,,no,8FA4,,,,,
301239,99XA,small_airport,Briggs / Skotz Airfield,30.863976076700000,-98.0037117004,1200,NA,US,US-TX,,no,99XA,,,,,
300977,AE-0003,small_airport,Dubai Skydive,25.0898742332,55.1366257668,,AS,AE,AE-DU,,no,,,,http://www.skydivedubai.ae/facilities/index.htm,,
307257,AE-0004,heliport,Sheikh Sultan Bin Khalifa bin Zayed Al Nahyan palace Heliport Complex,25.1225658976,55.1746809483,,AS,AE,AE-DU,,no,,,,,,
307258,AE-0005,heliport,Kempinski Emirates Palace Twin Heliport,24.462267882800000,54.3205904961,,AS,AE,AE-UQ,,no,,,,,https://en.wikipedia.org/wiki/Emirates_Palace,
313547,AE-0007,heliport,Al Ghuwaifat Border Post helipad,24.120421,51.600595,,AS,AE,AE-DU,,no,,,,,,
313548,AE-0008,heliport,Al Ghuwaifat Customs Post helipad,24.128339,51.616767,,AS,AE,AE-DU,,no,,,,,,
319174,AE-0011,heliport,Palm Jumeirah Heliport,25.127297,55.114092,,AS,AE,AE-DU,,no,,,,,,
319175,AE-0012,heliport,Waldorf Astoria Dubai Palm Jumeirah Helipad,25.133372,55.150379,,AS,AE,AE-DU,,no,,,,,,
319176,AE-0013,heliport,Oceana Palm Jumeirah Helipad,25.110083,55.135169,,AS,AE,AE-U-A,,no,,,,,,
319177,AE-0014,heliport,Ghantoot Racing & Polo Club Helipad,24.86824,54.905556,,AS,AE,AE-AZ,,no,,,,http://www.grpc.ae/helipad.html,,
319178,AE-0015,heliport,Golden Tulip Al Jazira Helipad,24.858628,54.894996,,AS,AE,AE-AZ,,no,,,,,,
319179,AE-0016,heliport,Ghantoot Hotel 1 Helipad,24.866038,54.88826,,AS,AE,AE-AZ,,no,,,,,,
319180,AE-0017,heliport,Ghantoot Hotel 2 Helipad,24.865417,54.882283,,AS,AE,AE-AZ,,no,,,,,,
319181,AE-0018,heliport,Ghantoot Hotel 3 Helipad,24.894949,54.860294,,AS,AE,AE-AZ,,no,,,,,,
319188,AE-0023,heliport,Al Forsan Helipad,24.406998,54.543507,,AS,AE,AE-AZ,,no,,,,,,
319192,AE-0024,small_airport,Yasat Higher Airport,24.221075,52.006719,,AS,AE,AE-AZ,,no,,,,,,
300307,AEE,small_airport,Adareil Airport,10.0536111111,32.9594444444,1301,AF,SS,SS-23,,no,,AEE,,,,
35353,AF-0002,small_airport,Dehdadi Airport,36.64609909057620,67.03230285644530,1378,AS,AF,AF-BAL,,no,,,,,,
35354,AF-0003,small_airport,Charikar Airport,35.14310073852540,69.31439971923830,5569,AS,AF,AF-KAP,,no,,,,,,
35355,AF-0004,small_airport,Dostmohammadkhan Kalay Airport,31.045000076293900,64.1541976928711,2333,AS,AF,AF-HEL,,no,,,,,,
35359,AF04,small_airport,Helmand Airport,30.33009910583500,61.89690017700200,,AS,AF,AF-NIM,,no,,,,,,
35360,AF06,small_airport,Khvej Ghar North Airport,37.07109832763670,69.49500274658200,1645,AS,AF,AF-TAK,,no,,,,,,
35361,AF07,small_airport,Khvej Ghar South Airport,37.06119918823240,69.48829650878910,1645,AS,AF,AF-TAK,,no,,,,,,
35362,AF08,small_airport,Kotubkhel Airport,34.192901611328100,69.13569641113280,6273,AS,AF,AF-LOW,,no,,,,,,
35363,AF09,small_airport,Nayak Airport,34.68709945678710,66.89320373535160,8650,AS,AF,AF-BAM,,no,,,,,,
35366,AF12,small_airport,Sarhawdza Landing Zone Airport,33.15610122680660,68.8197021484375,7060,AS,AF,AF-PKA,,no,,,,,,
35367,AF13,small_airport,Sheber Too Landing Zone Airport,34.778900146484400,67.48670196533200,10490,AS,AF,AF-BAM,,no,,,,,,
35368,AF14,small_airport,Tapa Airport,32.74509811401370,62.59870147705080,2622,AS,AF,AF-FRA,,no,,,,,,
35369,AF15,heliport,Qara Tepa Heliport,37.423301696777300,69.4302978515625,1437,AS,AF,AF-TAK,,yes,,,,,,
301665,AFR,small_airport,Afore Airstrip,-9.142222222220000,148.390833333,2500,OC,PG,PG-NPP,,no,AYAF,AFR,AFE,,,
302291,AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,OC,SB,SB-CH,,yes,AGGC,CHY,,,https://en.wikipedia.org/wiki/Choiseul_Bay_Airport,
301837,AGGJ,small_airport,Avu Avu Airport,-9.86833333333,160.410555556,25,OC,SB,SB-GU,,no,AGGJ,AVU,,,,
4,AGGM,medium_airport,Munda Airport,-8.327969551086430,157.26300048828100,10,OC,SB,SB-WE,,yes,AGGM,MUA,,,https://en.wikipedia.org/wiki/Munda_Airport,
301652,AGL,small_airport,Wanigela Airport,-9.3375,149.155555556,53,OC,PG,PG-NPP,,no,AYWG,AGL,WGL,,https://en.wikipedia.org/wiki/Wanigela_Airport,
301676,AMF,small_airport,Ama Airport,-4.10111111111,141.67,145,OC,PG,PG-ESW,,no,AYAA,AMF,AMA,,,
301758,AMY,small_airport,Ambatomainty Airport,-17.6866666667,45.623888888900000,1025,AF,MG,MG-M,,no,,AMY,,,,
43968,AO-0002,small_airport,Nankova Airport,-16.39636993408200,18.978763580322300,,AF,AO,AO-CCU,,no,,,,,,Vila Nova da Armada
43969,AO-0003,small_airport,Rito Airport,-16.68939208984380,19.08376693725590,,AF,AO,AO-CCU,,no,,,,,,
43970,AO-0004,small_airport,Coemba Airport,-12.143704414367700,18.085363388061500,,AF,AO,AO-BIE,,no,,,,,,
43971,AO-0005,small_airport,Andulo Airport,-11.472299575800000,16.710899353,,AF,AO,AO-BIE,,no,,ANL,,,,
312663,AO-0006,small_airport,Caluquembe,-13.775546,14.694916,,AF,AO,AO-HUI,,no,,,,,,
318486,AO-0021,small_airport,Calunda Airport,-12.126335,23.478615,,AF,AO,AO-MOX,,no,,,,,,
319263,AO-0048,small_airport,Cuito Cuanavale South Airport,-15.711983,18.651003,,AF,AO,AO-CCU,,no,,,,,,
325465,AO-0051,small_airport,Cubango River Airport,-13.333366,16.414531,5073,AF,AO,AO-HUA,,no,,,,,,
301705,AOB,small_airport,Annanberg Airport,-4.90416666667,144.635833333,130,OC,PG,PG-MPM,,no,,AOB,ANB,,,
301727,APP,small_airport,Asapa Airport,-8.97916666667,148.103611111,1930,OC,PG,PG-NPP,,no,,APP,APA,,,
324981,AQ-0004,closed,Base Cientifica Ellsworth,-77.650008,-41.0333,,AN,AQ,AQ-U-A,,no,,,BCE,,https://en.wikipedia.org/wiki/Ellsworth_Station,Ellsworth Station
42898,AR-0476,heliport,Heliplataforma Equipo Modular M-10 Heliport,-52.5489,-68.3119,108,SA,AR,AR-Z,,no,,,HEM,,,
313007,AR-0496,small_airport,Aeroclub de El Chaltén Alf. G.N.A. Walter Omar D Anna,-49.328889,-72.93,1279,SA,AR,AR-Z,,no,,,ELX,,,
313008,AR-0497,small_airport,Hipólito Yrigoyen Lago Posadas Airport,-47.565833,-71.74,,SA,AR,AR-Z,,no,,,,,,
313014,AR-0498,small_airport,Puerto Piramides Airport,-42.550804,-64.269397,,SA,AR,AR-U,,no,,,,,,
313015,AR-0499,small_airport,Punta Delgada Field,-42.764154,-63.643799,,SA,AR,AR-U,,no,,,,,,
313021,AR-0500,small_airport,Camerones Field,-44.76667,-65.71667,,SA,AR,AR-U,,no,,,,,,
313022,AR-0501,small_airport,Caleta Valdés Field,-42.454874,-63.61908,,SA,AR,AR-U,,no,,,,,,
313090,AR-0502,small_airport,Telsen,-42.383333,-66.95,,SA,AR,AR-U,,no,,,,,,
313091,AR-0503,small_airport,Gan Gan Field,-42.521363,-68.287861,,SA,AR,AR-U,,yes,,,,,,
313092,AR-0504,small_airport,Gastre Field,-42.276165,-69.221892,,SA,AR,AR-U,,no,,,,,,
313093,AR-0505,small_airport,Cushamen Field,-42.17195981,-70.666176,,SA,AR,AR-U,,no,,,,,,
313094,AR-0506,small_airport,Las Plumas Filed,-43.729305,-67.284822,,SA,AR,AR-U,,no,,,,,,
314778,AR-0509,small_airport,Rio Chico Highway Strip,-53.642,-67.9486,26,SA,AR,AR-V,,no,,,,,,
324545,AR-0621,small_airport,La Sistina Airstrip,-36.974031,-62.436969,,SA,AR,AR-B,,no,,,,,,
327585,AR-0626,small_airport,Loma Alta Airport,-29.049088,-57.081729,295,SA,AR,AR-W,,no,,,,,,
333806,AR-0644,closed,Elida 2 Airstrip,-28.159984,-60.475316,215,SA,AR,AR-S,,no,,,,,,
333808,AR-0646,closed,El Amargo Airport,-28.742,-61.741233,249,SA,AR,AR-S,,no,,,,,,
333811,AR-0649,closed,Pozo Cuadrado Airport,-28.915274,-57.050779,243,SA,AR,AR-W,,no,,,,,,
333812,AR-0650,small_airport,Santa Juana Airport,-28.955846,-56.742668,215,SA,AR,AR-W,,no,,,,,,
333823,AR-0653,closed,Tres Lagunas Airstrip,-29.372714,-62.037477,255,SA,AR,AR-E,,no,,,,,,
301707,ARP,small_airport,Aragip Airport,-9.88333333333,149.483333333,1750,OC,PG,PG-MBA,,no,,ARP,AGP,,,
301732,ASZ,small_airport,Asirim Airport,-6.009722222220000,150.368611111,1050,OC,PG,PG-WBK,,no,,ASZ,ASM,,,
329106,AT-0006,heliport,Christophorus 8 Heliport,47.2089892,9.6598223,,EU,AT,AT-8,,no,LOIG,,,,,
329108,AT-0007,heliport,Christophorus 15 Heliport,47.9692672,14.9396096,,EU,AT,AT-3,,no,,,,,,
38202,AU-0003,small_airport,Tjukayirla Roadhouse Airstrip,-27.155199,124.584999,1425,OC,AU,AU-WA,,no,,,A02,,,
38204,AU-0005,small_airport,Myrup fly in estate Airport,-33.793701171900000,121.958000183,,OC,AU,AU-WA,,no,,,A04,,,
38206,AU-0007,small_airport,Kulin Airport,-32.6721992493,118.168998718,1000,OC,AU,AU-WA,,no,,,A06,,,
38210,AU-0011,small_airport,Wheeler Field,-32.7874909969,115.789482594,,OC,AU,AU-WA,,no,,,A12,,,
38212,AU-0013,small_airport,Between Lakes Private Airstrip,-32.849998474121100,115.63999938964800,,OC,AU,AU-WA,,no,,,,,,
38216,AU-0017,small_airport,Lily Dutch Windmill Airstrip,-34.2250022888,118.216148376,655,OC,AU,AU-WA,,no,,,A19,http://www.thelily.com.au/,,"Dutch Windmill, Stirling Ranges"
38217,AU-0018,small_airport,Preston Field - Blair Howe,-33.0187988281,115.700996399,20,OC,AU,AU-WA,,no,,,A21,,,
42497,AU-0021,small_airport,Karijini National Park,-22.487101,118.468002,2325,OC,AU,AU-WA,,no,,,,http://www.tompricewa.com.au/karijini.asp,,
42750,AU-0023,small_airport,Woodbury Airfield,-42.16777801513670,147.44583129882800,713,OC,AU,AU-TAS,,no,,,,,,
42752,AU-0024,small_airport,Port Fairy,-38.36196517944340,142.26422119140600,10,OC,AU,AU-VIC,,no,,,,,,
42754,AU-0025,small_airport,Northcliffe Airstrips (needs confirmation),-34.659000396728500,116.1520004272460,,OC,AU,AU-WA,,no,,,,,,
42776,AU-0026,small_airport,Yuin Station,-27.983333587646500,116.03333282470700,970,OC,AU,AU-WA,,no,,,,http://www.agfg.com.au/guide/wa/mid-west-wa/mid-west-wa/yalgoo/accommodation/yuin-station,,
42790,AU-0027,small_airport,Boobyalla Airfield,-40.899166107177700,147.86471557617200,50,OC,AU,AU-TAS,,no,,,,,,
42791,AU-0028,small_airport,Moonambel Airfield,-36.9716682434082,143.28611755371100,1100,OC,AU,AU-VIC,,no,,,,,,Summerfield Airstrip
43232,AU-0029,small_airport,Stirling Range Retreat,-34.312400817871100,118.18599700927700,,OC,AU,AU-WA,,no,,,,http://www.stirlingrange.com.au,,
44624,AU-0031,closed,Avon Valley NP Airstrip,-31.6055488586,116.261314392,980,OC,AU,AU-WA,,no,,,,,,
44627,AU-0033,small_airport,Tardun Christian Brothers airfield,-28.70870018005370,115.8176498413090,,OC,AU,AU-WA,,no,,,,,,
44991,AU-0037,small_airport,New Norcia North,-30.921002743300000,116.23998642,,OC,AU,AU-WA,,no,,,,,,
45164,AU-0038,small_airport,Abrolhos North Island,-28.299816666700000,113.5958,1,OC,AU,AU-WA,,no,YNTI,,,,,
45166,AU-0039,small_airport,Abrolhos Island,-28.4754062982,113.689184189,,OC,AU,AU-WA,,no,,,,,,
46460,AU-0044,small_airport,Trawalla Airport,-37.438747364400000,143.458957672,900,OC,AU,AU-VIC,,no,,,YTWA,,,
46463,AU-0045,small_airport,Pomonal Airstrip,-37.230559,142.677165,,OC,AU,AU-VIC,,no,,,YPML,,,
46480,AU-0046,small_airport,Lake Eyre North,-28.416666666700000,137.3,,OC,AU,AU-SA,,no,,,LEYN,,,
46483,AU-0047,small_airport,Yardie Homestead,-21.884040258800000,114.006564617,,OC,AU,AU-WA,,no,,,,http://www.yardie.com.au/Home.aspx,,
298576,AU-0049,small_airport,Kooringal Airstrip,-27.3458333333,153.425833333,25,OC,AU,AU-QLD,,no,,,,,,
298925,AU-0052,small_airport,Lake Omeo Dry Lake Ultralightport,-36.9617573795,147.672729492,,OC,AU,AU-VIC,,no,,,,,,
298927,AU-0053,small_airport,Snowy Range Airfield,-37.3485734147,146.766046286,5200,OC,AU,AU-VIC,,no,,,,,,Victorian Aerial Fire Bases
313355,AU-0077,heliport,Toonumbar Dam Helipad,-28.61835,152.79353,495,OC,AU,AU-NSW,,no,,,TOON,,,
314729,AU-0085,small_airport,Nambung Station Private Airstrip,-30.577798,115.225055,,OC,AU,AU-WA,,no,,,,,,
316629,AU-0107,small_airport,Midway,-32.672544,115.789526,,OC,AU,AU-WA,,no,,,,,,
316630,AU-0108,small_airport,Wheeler Drome,-32.786914,115.910386,,OC,AU,AU-WA,,no,,,,,,
316631,AU-0109,small_airport,Unknown Farm Strip,-33.094903,115.717181,,OC,AU,AU-WA,,no,,,,,,
333860,AU-0117,small_airport,Balma Airfield,-13.247423,135.848699,37,OC,AU,AU-NT,,no,,,,,,
333863,AU-0120,small_airport,Baygurrtji Airfield,-13.146384,135.817344,,OC,AU,AU-NT,,no,,,,,,
333864,AU-0122,small_airport,Birany Birany Airfield,-12.816959,136.471556,51,OC,AU,AU-NT,,no,,,,,,
333867,AU-0125,small_airport,Chilla Well Landing Ground,-21.499888,130.961747,1612,OC,AU,AU-NT,,no,,,,,,
334062,AU-0141,small_airport,Gerald Farm Airfield,-12.500167,130.765833,117,OC,AU,AU-NT,,no,,,OZHIQ,,,
334064,AU-0142,heliport,Gypsy Springs - African Mahogany HLS,-13.972167,131.4085,511,OC,AU,AU-NT,,no,,,OZHBZ,,,
301668,AUP,small_airport,Agaun Airport,-9.930833,149.385667,3200,OC,PG,PG-MBA,,no,AYAG,AUP,AUN,,https://en.wikipedia.org/wiki/Agaun_Airport,
308669,AUS,closed,Austin Robert Mueller Municipal,30.298722,-97.699785,632,NA,US,US-TX,,no,,,,,https://en.wikipedia.org/wiki/Robert_Mueller_Municipal_Airport,"KAUS, AUS"
307980,AYAQ,small_airport,Kompiam Airport,-5.38166666667,143.924722222,5100,OC,PG,PG-EPW,,no,AYAQ,KPM,KOM,,,
308213,AYBW,small_airport,Blackwara Airport,-2.618211,141.091971,58,OC,PG,PG-SAN,,no,AYBW,,,,,
307876,AYHA,small_airport,Haia Airport,-6.707421,144.997398,2434,OC,PG,PG-CPK,,no,AYHA,,HAIA,,,
306998,AYPW,small_airport,Panakawa Airport,-7.67205555556,143.124722222,42,OC,PG,PG-WPD,,no,AYPW,,,,,
307082,AYRG,small_airport,Rumginae Airport,-5.89722222222,141.271666667,160,OC,PG,PG-WPD,,no,AYRG,RMN,RMG,,,
